COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE
Ringed Kingfisher	-13.2640065	-64.6105957	8/13/94
Ringed Kingfisher	-13.913	-64.982	7/29/96
Ringed Kingfisher	-15.662	-63.515	7/28/96
Ringed Kingfisher	-13.2319246	-63.8291931	6/30/05
Ringed Kingfisher	-13.613956	-64.5062256	7/25/05
Ringed Kingfisher	-14.0193557	-64.9182129	7/9/05
Ringed Kingfisher	-13.2744071	-63.7057471	6/15/06
Ringed Kingfisher	-12.8192918	-65.7711124	1/8/07
Ringed Kingfisher	-14.8620903	-64.9772644	5/14/08
Ringed Kingfisher	-14.190548	-64.839935	9/21/08
Ringed Kingfisher	-14.2835993	-67.0387545	1/23/09
Ringed Kingfisher	-13.6525759	-65.110302	8/20/09
Ringed Kingfisher	-14.181849	-64.9539185	8/13/09
Ringed Kingfisher	-13.7267118	-65.4179192	11/24/09
Ringed Kingfisher	-14.144349	-66.8081753	12/29/09
Ringed Kingfisher	-13.7615617	-66.0961533	10/13/10
Ringed Kingfisher	-15.3346839	-64.8680878	11/4/10
Ringed Kingfisher	-15.410161	-64.8797607	11/4/10
Ringed Kingfisher	-15.3391537	-64.84869	11/4/10
Ringed Kingfisher	-15.192097	-64.7594261	11/4/10
Ringed Kingfisher	-14.7476592	-64.957695	11/4/10
Ringed Kingfisher	-14.564976	-64.9772644	12/29/10
Ringed Kingfisher	-14.8754463	-64.8749542	1/12/11
Ringed Kingfisher	-14.7855053	-64.9522018	1/1/11
Ringed Kingfisher	-14.849059	-64.889001	3/8/11
Ringed Kingfisher	-10.8838738	-65.3591816	10/2/11
Ringed Kingfisher	-14.7910684	-64.9040737	11/10/11
Ringed Kingfisher	-13.763229	-66.0984278	6/3/12
Ringed Kingfisher	-10.9948702	-66.0754052	6/5/12
Ringed Kingfisher	-11.11937	-66.1270522	10/1/12
Ringed Kingfisher	-16.575894	-64.74855	4/17/85
Ringed Kingfisher	-16.575894	-64.74855	4/16/85
Ringed Kingfisher	-17.062	-65.474	9/12/96
Ringed Kingfisher	-16.666	-66.484	8/3/01
Ringed Kingfisher	-16.4074117	-66.3298125	9/8/01
Ringed Kingfisher	-16.764	-66.245	8/28/03
Ringed Kingfisher	-15.901	-66.842	9/12/04
