COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Atlantic // 2=Horned // 3=Tufted
puffin	58.3	-136	8/20/82	233	3
puffin	61.9	-65	8/23/82	236	1
puffin	61.9	-65	8/24/82	237	1
puffin	61.9	-65	8/28/82	241	1
puffin	46.9	-124.5	8/28/82	241	3
puffin	44	-68.1	10/4/82	278	1
puffin	36.7	-122.1	10/9/82	283	3
puffin	36.7	-122.1	10/9/82	283	3
puffin	49.1	-67.6	11/21/82	326	1
puffin	54.2	-0.3	1/5/83	5	1
puffin	38.2	-74.3	1/30/83	30	1
puffin	38.2	-74.3	1/30/83	30	1
puffin	53.3	-4.7	5/14/83	136	1
puffin	44.7	-124.1	5/15/83	137	3
puffin	52.9	173	5/17/83	139	2
puffin	52.9	173	5/17/83	139	3
puffin	52.8	173.2	5/19/83	141	2
puffin	53.3	-4.7	5/22/83	144	1
puffin	57.6	-6.8	5/29/83	151	1
puffin	61	-147.1	5/31/83	153	2
puffin	51.2	-170.9	6/10/83	162	2
puffin	51.2	-170.9	6/10/83	162	3
puffin	58.7	-3.4	6/11/83	163	1
puffin	44.5	-67.1	6/12/83	164	1
puffin	56.1	-2.8	6/18/83	170	1
puffin	60.8	-0.9	6/18/83	170	1
puffin	47.3	-52.8	6/21/83	173	1
puffin	48.4	-122.7	6/26/83	178	3
puffin	47.5	-52.6	6/28/83	180	1
puffin	51.7	-5.3	6/28/83	180	1
puffin	46.8	-54.2	6/29/83	181	1
puffin	53.3	-4.7	7/3/83	186	1
puffin	66.4	12.3	7/11/83	194	1
puffin	66.4	12.3	7/12/83	195	1
puffin	57.7	-152.3	7/13/83	196	2
puffin	57.7	-152.3	7/13/83	196	3
puffin	46.9	-124.5	7/28/83	211	3
puffin	46.9	-124.5	7/28/83	211	3
puffin	36.9	-122.2	8/13/83	226	3
puffin	59.6	-151.6	8/15/83	228	2
puffin	59.6	-151.6	8/15/83	228	3
puffin	46.9	-124.5	8/17/83	230	3
puffin	46.9	-124.5	8/17/83	230	3
puffin	48.9	-125.6	9/4/83	248	3
puffin	59.9	-142.1	9/16/83	260	3
puffin	59	9.8	10/1/83	275	1
puffin	43.8	-69.3	10/13/83	287	1
puffin	59.9	10.7	10/27/83	301	1
puffin	59.9	10.7	11/1/83	306	1
puffin	43.8	-69.5	11/4/83	309	1
puffin	54.2	-0.3	1/10/84	10	1
puffin	51.7	-5.3	5/4/84	126	1
puffin	57	-135.7	5/15/84	137	2
puffin	57	-135.7	5/15/84	137	3
puffin	63.8	-171.7	5/29/84	151	2
puffin	63.8	-171.7	5/29/84	151	3
puffin	63.8	-171.7	5/30/84	152	2
puffin	63.8	-171.7	5/30/84	152	3
puffin	63.8	-171.7	5/31/84	153	2
puffin	63.8	-171.7	5/31/84	153	3
puffin	54.1	-0.2	6/1/84	153	1
puffin	63.8	-171.7	6/1/84	153	2
puffin	63.8	-171.7	6/1/84	153	3
puffin	57.6	-6.8	6/2/84	154	1
puffin	63.8	-171.7	6/2/84	154	2
puffin	63.8	-171.7	6/2/84	154	3
puffin	48.9	-3.5	6/3/84	155	1
puffin	63.8	-171.7	6/3/84	155	3
puffin	46.8	-54.2	6/4/84	156	1
puffin	63.8	-171.7	6/4/84	156	2
puffin	63.8	-171.7	6/4/84	156	3
puffin	60.5	-1.2	6/9/84	161	1
puffin	60.8	-0.9	6/10/84	162	1
puffin	45.9	-124	6/16/84	168	3
puffin	56.7	-157.5	6/18/84	170	3
puffin	40.6	-124.8	6/23/84	175	3
puffin	37.7	-123	6/24/84	176	3
puffin	47.3	-52.8	7/1/84	184	1
puffin	53.3	-4.7	7/1/84	184	1
puffin	60	-149.4	7/4/84	187	2
puffin	44.8	-124.1	7/5/84	188	3
puffin	43.8	-68.9	7/12/84	195	1
puffin	46.9	-124.5	7/23/84	206	3
puffin	46.9	-124.5	7/23/84	206	3
puffin	46.9	-124.5	7/26/84	209	3
puffin	44.4	-124.1	7/28/84	211	3
puffin	44.6	-124.1	7/30/84	213	3
puffin	46.9	-124.5	8/4/84	217	3
puffin	45.5	-124	8/11/84	224	3
puffin	44.5	-67.1	8/13/84	226	1
puffin	46.9	-124.5	8/15/84	228	3
puffin	48.4	-123.4	8/17/84	230	3
puffin	44.5	-66.7	8/21/84	234	1
puffin	57.1	-170.3	8/25/84	238	2
puffin	57.1	-170.3	8/25/84	238	3
puffin	47.8	-53.2	9/19/84	263	1
puffin	46.9	-124.5	9/23/84	267	3
puffin	49.1	-68.2	9/28/84	272	1
puffin	53.6	0.1	9/30/84	274	1
puffin	36.6	-122	10/5/84	279	3
puffin	54.2	-0.3	2/26/85	56	1
puffin	45.9	-124	4/12/85	103	3
puffin	45.5	-124	4/13/85	104	3
puffin	50.6	-2.1	5/5/85	127	1
puffin	43.8	-68.9	5/11/85	133	1
puffin	49.2	-126.1	5/21/85	143	3
puffin	59.9	10.7	5/26/85	148	1
puffin	63.8	-171.7	5/28/85	150	2
puffin	63.8	-171.7	5/29/85	151	2
puffin	63.8	-171.7	5/29/85	151	3
puffin	63.8	-171.7	5/30/85	152	2
puffin	63.8	-171.7	5/30/85	152	3
puffin	63.8	-171.7	5/31/85	153	2
puffin	63.8	-171.7	5/31/85	153	3
puffin	50.5	-2.5	6/1/85	153	1
puffin	63.8	-171.7	6/1/85	153	2
puffin	63.8	-171.7	6/2/85	154	2
puffin	63.8	-171.7	6/2/85	154	3
puffin	63.8	-171.7	6/3/85	155	2
puffin	63.8	-171.7	6/3/85	155	3
puffin	44.5	-67.1	6/5/85	157	1
puffin	64.6	-165.3	6/5/85	157	3
puffin	58.8	-151.4	6/6/85	158	3
puffin	57.2	-170.3	6/8/85	160	2
puffin	57.2	-170.3	6/9/85	161	2
puffin	57.2	-170.3	6/9/85	161	3
puffin	57.2	-170.3	6/10/85	162	2
puffin	57.2	-170.3	6/10/85	162	3
puffin	57.6	-6.8	6/21/85	173	1
puffin	54.1	-0.2	6/22/85	174	1
puffin	51.7	-5.2	6/22/85	174	1
puffin	53.3	-4.7	6/23/85	175	1
puffin	38	-123.5	6/23/85	175	2
puffin	38	-123.5	6/23/85	175	2
puffin	37.7	-123	6/23/85	175	2
puffin	38.2	-123.5	6/23/85	175	2
puffin	38	-123.5	6/23/85	175	3
puffin	38	-123.5	6/23/85	175	3
puffin	37.7	-123	6/23/85	175	3
puffin	43.8	-68.9	7/19/85	202	1
puffin	47.2	-52.8	7/24/85	207	1
puffin	47.2	-52.9	7/24/85	207	1
puffin	60.6	-1.3	7/28/85	211	1
puffin	54.2	-133	7/29/85	212	3
puffin	50.1	-5.7	7/30/85	213	1
puffin	57.6	-6.8	7/30/85	213	1
puffin	48.1	-122.8	8/4/85	217	3
puffin	46.4	-60.4	8/5/85	218	1
puffin	51.4	-9.5	8/5/85	218	1
puffin	47.3	-52.8	8/6/85	219	1
puffin	46.7	-53.1	8/6/85	219	1
puffin	44.3	-68.1	8/13/85	226	1
puffin	48.7	-125.2	8/16/85	229	3
puffin	36.7	-122.1	8/28/85	241	3
puffin	44	-68.1	8/29/85	242	1
puffin	59.8	-149.8	8/31/85	244	2
puffin	59.8	-149.8	8/31/85	244	3
puffin	53	1	9/1/85	245	1
puffin	53	1.1	11/1/85	306	1
puffin	42.5	-70.6	11/30/85	335	1
puffin	45.8	-76.9	12/15/85	350	1
puffin	37.7	-74.7	2/8/86	38	1
puffin	54.2	-0.3	3/17/86	78	1
puffin	50.3	-4.1	4/5/86	96	1
puffin	49.3	-123.6	4/15/86	106	3
puffin	56.2	-2.9	5/17/86	139	1
puffin	52.9	173	5/18/86	140	3
puffin	52.8	173.2	5/19/86	141	2
puffin	52.8	173.2	5/19/86	141	3
puffin	44.6	-124.1	5/20/86	142	3
puffin	47.2	-52.8	5/23/86	145	1
puffin	44.1	-124.1	5/25/86	147	3
puffin	54.5	-3.6	5/31/86	153	1
puffin	52.9	173	6/2/86	154	2
puffin	38	-123	6/6/86	158	3
puffin	53.3	-4.7	6/7/86	159	1
puffin	48.1	-122.8	6/16/86	168	3
puffin	60.5	-165.1	6/22/86	174	3
puffin	59.5	-1.6	6/23/86	175	1
puffin	48.5	-123	6/23/86	175	3
puffin	59.5	-1.6	6/24/86	176	1
puffin	51.7	-5.3	6/24/86	176	1
puffin	46.4	-60.4	6/28/86	180	1
puffin	57.2	-170.3	6/28/86	180	2
puffin	57.2	-170.3	6/28/86	180	3
puffin	60.6	-165.4	6/28/86	180	3
puffin	57.2	-170.3	6/29/86	181	2
puffin	57.2	-170.3	6/29/86	181	3
puffin	46.4	-60.4	6/30/86	182	1
puffin	57	-135.7	7/3/86	186	3
puffin	44.5	-67.1	7/10/86	193	1
puffin	70.9	25.7	7/12/86	195	1
puffin	70.9	25.7	7/12/86	195	1
puffin	56.6	-169.6	7/13/86	196	2
puffin	56.6	-169.6	7/13/86	196	3
puffin	57.2	-170.3	7/15/86	198	2
puffin	57.2	-170.3	7/15/86	198	3
puffin	51.7	-5.3	7/20/86	203	1
puffin	46.9	-124.5	7/26/86	209	3
puffin	37.7	-123	7/27/86	210	3
puffin	45	-66.9	7/28/86	211	1
puffin	44.5	-67.1	7/29/86	212	1
puffin	44	-68.1	7/31/86	214	1
puffin	50	-5.7	8/1/86	214	1
puffin	43.9	-69.4	8/1/86	214	1
puffin	51.3	-56.9	8/5/86	218	1
puffin	51.4	-57.2	8/7/86	220	1
puffin	51.4	-57.2	8/8/86	221	1
puffin	51.4	-57.2	8/8/86	221	1
puffin	46.9	-124.1	8/18/86	231	3
puffin	64.1	-21.9	8/19/86	232	1
puffin	64.1	-21.9	8/20/86	233	1
puffin	63.5	-20.2	8/20/86	233	1
puffin	63.5	-20.2	8/21/86	234	1
puffin	36.7	-122.1	9/1/86	245	3
puffin	36.8	-122	9/1/86	245	3
puffin	44.6	-124.1	9/3/86	247	3
puffin	45.5	-124	9/4/86	248	3
puffin	38	-123.5	11/7/86	312	3
puffin	58.1	10.6	11/9/86	314	1
puffin	58.1	10.6	2/15/87	45	1
puffin	54.2	-0.3	2/21/87	51	1
puffin	37	-122.2	4/6/87	97	3
puffin	44.7	-124.1	4/24/87	115	3
puffin	47.3	-124.3	4/26/87	117	3
puffin	41.1	-124.1	5/9/87	131	3
puffin	46.2	-124.1	5/10/87	132	3
puffin	46.2	-63.7	5/21/87	143	1
puffin	53.3	-4.7	5/23/87	145	1
puffin	52.9	173	5/28/87	150	3
puffin	52.9	173	5/29/87	151	3
puffin	60.1	-152.9	6/1/87	153	2
puffin	52.9	173	6/4/87	156	3
puffin	52.9	173	6/5/87	157	3
puffin	52.1	-130.9	6/11/87	163	3
puffin	52.2	-131	6/12/87	164	2
puffin	52.2	-131	6/12/87	164	3
puffin	52.1	-131.2	6/12/87	164	3
puffin	59.6	-151.3	6/26/87	178	2
puffin	59.6	-151.3	6/26/87	178	3
puffin	52.1	-6.6	6/27/87	179	1
puffin	54.1	-0.2	6/30/87	182	1
puffin	54.1	-0.2	7/4/87	187	1
puffin	44.5	-67.1	7/4/87	187	1
puffin	60.1	-152.6	7/10/87	193	2
puffin	49.2	-126.1	7/10/87	193	3
puffin	53.3	-4.7	7/11/87	194	1
puffin	48.2	-123.4	7/11/87	194	3
puffin	62.4	5.6	7/18/87	201	1
puffin	62.4	5.6	7/19/87	202	1
puffin	46.9	-124.2	7/19/87	202	3
puffin	46.4	-60.4	7/23/87	206	1
puffin	43.9	-69.4	7/25/87	208	1
