#COMMON NAME,#LATITUDE,#LONGITUDE,#OBSERVATION DATE,#DAY SERIAL NUMBER
penguin,-63.0225824,-60.4714966,1/21/07,21
penguin,-62.65,-60.6166667,1/21/07,21
penguin,-62.5977654,-59.9139404,2/2/07,32
penguin,-62.3413231,-59.8164368,11/12/07,317
penguin,-62.5427274,-60.4467773,12/22/07,357
penguin,-62.915233,-59.0625,12/26/07,361
penguin,-61.9389504,-54.84375,1/15/08,15
penguin,-61,-58.25,1/15/08,15
penguin,-63,-60.5,1/18/08,18
penguin,-65.1666667,-64.1666667,2/8/08,38
penguin,-64.3113485,-62.8088379,2/9/08,39
penguin,-62.4,-59.7333333,2/6/08,36
penguin,-61.0689166,-54.7998047,2/18/08,48
penguin,-62.3851183,-59.7748947,11/12/08,317
penguin,-62.594289,-59.9197769,11/22/08,327
penguin,-62.3413231,-59.8164368,11/26/08,331
penguin,-64.8833333,-62.8666667,11/24/08,329
penguin,-64.8333333,-62.55,11/27/08,332
penguin,-62.1860139,-58.8977051,12/29/08,364
penguin,-60.78966,-44.44308,1/18/09,18
penguin,-60.7606,-44.69247,1/18/09,18
penguin,-62.5975,-59.90102,1/22/09,22
penguin,-60.76606,-44.68396,1/18/09,18
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-62.76341,-51.54677,1/19/09,19
penguin,-61.8152,-48.28471,1/19/09,19
penguin,-62.02577,-48.97271,1/19/09,19
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-62.64425,-51.19837,1/19/09,19
penguin,-62.53559,-50.95015,1/19/09,19
penguin,-62.20934,-49.62886,1/19/09,19
penguin,-62.20934,-49.62886,1/19/09,19
penguin,-62.53559,-50.95015,1/19/09,19
penguin,-62.76341,-51.54677,1/19/09,19
penguin,-62.64425,-51.19837,1/19/09,19
penguin,-62.02577,-48.97271,1/19/09,19
penguin,-62.64425,-51.19837,1/19/09,19
penguin,-62.53559,-50.95015,1/19/09,19
penguin,-61.8152,-48.28471,1/19/09,19
penguin,-62.76341,-51.54677,1/19/09,19
penguin,-62.20934,-49.62886,1/19/09,19
penguin,-60.76606,-44.68396,1/18/09,18
penguin,-62.02577,-48.97271,1/19/09,19
penguin,-61.8152,-48.28471,1/19/09,19
penguin,-60.7606,-44.69247,1/18/09,18
penguin,-60.78966,-44.44308,1/18/09,18
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-60.76606,-44.68396,1/18/09,18
penguin,-60.65559,-44.02555,1/18/09,18
penguin,-60.37896,-43.63164,1/18/09,18
penguin,-60.7606,-44.69247,1/18/09,18
penguin,-60.78966,-44.44308,1/18/09,18
penguin,-62.5975,-59.90102,1/22/09,22
penguin,-60.65559,-44.02555,1/18/09,18
penguin,-60.37896,-43.63164,1/18/09,18
penguin,-62.5975,-59.90102,1/22/09,22
penguin,-60.37896,-43.63164,1/18/09,18
penguin,-60.65559,-44.02555,1/18/09,18
penguin,-60.37896,-43.63164,1/18/09,18
penguin,-62.5975,-59.90102,1/22/09,22
penguin,-60.65559,-44.02555,1/18/09,18
penguin,-60.78966,-44.44308,1/18/09,18
penguin,-60.7606,-44.69247,1/18/09,18
penguin,-60.76606,-44.68396,1/18/09,18
penguin,-61.8152,-48.28471,1/19/09,19
penguin,-62.02577,-48.97271,1/19/09,19
penguin,-62.53559,-50.95015,1/19/09,19
penguin,-63.57381,-55.78613,1/20/09,20
penguin,-62.20934,-49.62886,1/19/09,19
penguin,-62.64425,-51.19837,1/19/09,19
penguin,-62.76341,-51.54677,1/19/09,19
penguin,-62.4,-59.6833333,2/13/09,43
penguin,-62.0833333,-57.9166667,2/13/09,43
penguin,-62.65,-60.6166667,2/16/09,46
penguin,-64.6833333,-62.6333333,2/15/09,45
penguin,-64.8166667,-63.5,2/15/09,45
penguin,-65.3747992,-63.1054832,11/15/09,320
penguin,-62.1860139,-58.8977051,12/30/09,365
penguin,-62.5977654,-59.9139404,12/28/09,363
penguin,-65.0818,-64.04758,1/26/10,26
penguin,-65.0818,-64.04758,1/26/10,26
penguin,-61.96696,-57.30628,1/22/10,22
penguin,-64.2990827,-56.7831116,1/22/10,22
penguin,-64.6776749,-62.6021576,1/24/10,24
penguin,-62.5977654,-59.9139404,1/21/10,21
penguin,-62.9627151,-60.6280518,1/21/10,21
penguin,-64.6776749,-62.6021576,1/24/10,24
penguin,-64.6776749,-62.6021576,1/24/10,24
penguin,-63.57381,-55.78613,1/19/10,19
penguin,-59.5833333,-47.3833333,1/17/10,17
penguin,-62.5553888,-59.5321655,1/21/10,21
penguin,-62.5553888,-59.5321655,1/21/10,21
penguin,-59.5833333,-47.3833333,1/17/10,17
penguin,-62.5553888,-59.5321655,1/21/10,21
penguin,-62.9627151,-60.6280518,1/21/10,21
penguin,-62.5977654,-59.9139404,1/21/10,21
penguin,-59.5833333,-47.3833333,1/17/10,17
penguin,-62.5977654,-59.9139404,1/21/10,21
penguin,-62.9627151,-60.6280518,1/21/10,21
penguin,-61.96696,-57.30628,1/22/10,22
penguin,-62.0997058,-57.9261017,1/22/10,22
penguin,-61.96696,-57.30628,1/22/10,22
penguin,-62.0997058,-57.9261017,1/22/10,22
penguin,-60.9837669,-54.6899414,12/28/10,363
penguin,-63.2016667,-56.915,12/29/10,364
penguin,-64.7910931,-63.5174561,12/30/10,365
penguin,-63.0225824,-60.4714966,12/31/10,366
penguin,-65.0920916,-63.9701271,12/11/10,346
penguin,-63.0128623,-60.3904724,1/17/11,17
penguin,-62.4694387,-58.1712341,1/15/11,15
penguin,-61.0183,-54.945,1/14/11,14
penguin,-61.2153006,-45.6240275,1/13/11,13
penguin,-63.2523632,-57.2387031,1/20/11,20
penguin,-61.0662591,-54.6844482,2/7/11,37
penguin,-62.5879868,-59.9216075,11/15/11,320
penguin,-62.35,-59.7833333,1/19/12,19
penguin,-62.4166667,-59.7,1/19/12,19
