COMMON NAME	LATITUDE	LONGITUDE	OBSERVATION DATE	SERIAL DATE	1=Blue-and-yellow // 2=Blue-headed // 3=
macaw	8.5	-83.6	3/1/89	62	11
macaw	8.5	-83.6	3/2/89	63	11
macaw	25.7	-80.3	3/18/89	79	4
macaw	-0.5	-76.4	4/25/89	116	4
macaw	-0.5	-76.4	4/25/89	116	9
macaw	10.3	-84.8	4/25/89	116	11
macaw	25.7	-80.3	4/26/89	117	4
macaw	-0.5	-76.4	4/26/89	117	9
macaw	-0.5	-76.4	4/26/89	117	11
macaw	-0.5	-76.4	4/27/89	118	1
macaw	10.5	-66.9	4/30/89	121	4
macaw	25.7	-80.3	5/2/89	124	4
macaw	8.6	-67.6	5/2/89	124	11
macaw	8.6	-83.4	5/3/89	125	11
macaw	8.6	-67.6	5/3/89	125	11
macaw	23.1	-99.2	8/12/89	225	7
macaw	25.7	-80.3	8/16/89	229	4
macaw	-0.5	-76.4	8/17/89	230	1
macaw	-0.5	-76.4	8/17/89	230	4
macaw	-0.5	-76.4	8/17/89	230	9
macaw	-0.5	-76.4	8/17/89	230	11
macaw	6.2	-77.4	8/20/89	233	5
macaw	-4.9	-73.7	9/15/89	259	1
macaw	-17.8	-48.6	10/8/89	282	10
macaw	25.7	-80.3	10/29/89	303	4
macaw	-25.6	-54.4	11/3/89	308	8
macaw	10.2	-84.0	11/8/89	313	5
macaw	16.1	-90.9	11/12/89	317	11
macaw	-15.5	-55.8	11/24/89	329	1
macaw	-15.5	-55.8	11/24/89	329	8
macaw	-16.6	-56.8	11/28/89	333	6
macaw	-16.6	-56.8	11/28/89	333	6
macaw	-16.6	-56.8	11/28/89	333	12
macaw	-16.6	-56.8	11/28/89	333	12
macaw	-0.5	-76.4	12/3/89	338	1
macaw	-0.5	-76.4	12/3/89	338	9
macaw	-0.5	-76.4	12/3/89	338	11
macaw	-12.6	-69.0	12/11/89	346	1
macaw	-12.6	-69.0	12/11/89	346	4
macaw	-12.6	-69.0	12/11/89	346	9
macaw	25.8	-80.2	12/16/89	351	1
macaw	9.6	-84.6	12/25/89	360	11
macaw	9.8	-84.6	12/27/89	362	11
macaw	9.8	-84.6	12/29/89	364	11
macaw	9.8	-84.6	12/31/89	366	11
macaw	10.4	-85.3	1/3/90	3	11
macaw	9.6	-84.6	1/3/90	3	11
macaw	3.9	-67.9	1/15/90	15	4
macaw	3.9	-67.9	1/15/90	15	11
macaw	25.7	-80.3	1/23/90	23	4
macaw	-12.8	-69.3	1/30/90	30	1
macaw	-12.8	-69.3	1/30/90	30	8
macaw	-12.8	-69.3	1/30/90	30	11
macaw	-0.5	-76.4	2/10/90	40	11
macaw	7.8	-68.3	2/12/90	42	11
macaw	-0.5	-76.4	2/14/90	44	1
macaw	-0.5	-76.4	2/14/90	44	1
macaw	-0.5	-76.4	2/14/90	44	4
macaw	-0.5	-76.4	2/14/90	44	4
macaw	-0.5	-76.4	2/14/90	44	8
macaw	-0.5	-76.4	2/14/90	44	8
macaw	-0.5	-76.4	2/14/90	44	9
macaw	-0.5	-76.4	2/14/90	44	9
macaw	-0.5	-76.4	2/14/90	44	11
macaw	-0.5	-76.4	2/14/90	44	11
macaw	-12.8	-69.3	2/15/90	45	9
macaw	9.8	-84.6	2/15/90	45	11
macaw	-12.8	-69.3	2/20/90	50	1
macaw	-12.8	-69.3	2/20/90	50	4
macaw	-12.8	-69.3	2/20/90	50	8
macaw	-12.8	-69.3	2/20/90	50	11
macaw	-12.8	-69.3	3/1/90	62	1
macaw	-12.8	-69.3	3/1/90	62	8
macaw	-12.8	-69.3	3/1/90	62	11
macaw	-0.5	-76.4	3/15/90	76	1
macaw	-0.5	-76.4	3/15/90	76	4
macaw	-0.5	-76.4	3/15/90	76	8
macaw	-0.5	-76.4	3/15/90	76	9
macaw	-0.5	-76.4	3/15/90	76	11
macaw	9.8	-84.6	3/26/90	87	11
macaw	8.0	-68.2	3/27/90	88	4
macaw	9.8	-84.6	3/27/90	88	11
macaw	8.0	-68.2	3/27/90	88	11
macaw	9.8	-84.6	4/3/90	94	11
macaw	9.8	-84.6	4/4/90	95	11
macaw	9.8	-84.6	4/11/90	102	11
macaw	7.1	-67.6	4/17/90	108	8
macaw	25.7	-80.3	5/6/90	128	10
macaw	7.1	-67.6	7/6/90	189	8
macaw	7.8	-68.3	7/12/90	195	4
macaw	10.8	-85.8	7/17/90	200	11
macaw	-18.3	-52.9	7/19/90	202	3
macaw	-18.3	-52.9	7/19/90	202	9
macaw	-14.6	-60.9	7/26/90	209	1
macaw	-14.8	-60.9	7/26/90	209	1
macaw	-14.6	-60.9	7/28/90	211	1
macaw	-14.6	-60.9	7/28/90	211	9
macaw	-14.9	-60.3	7/29/90	212	1
macaw	-14.6	-60.9	7/29/90	212	8
macaw	-14.9	-60.3	7/29/90	212	10
macaw	-14.9	-60.3	7/30/90	213	1
macaw	-14.9	-60.3	7/30/90	213	11
macaw	-3.0	-73.1	8/1/90	214	1
macaw	-3.0	-73.1	8/1/90	214	9
macaw	-3.0	-73.1	8/1/90	214	11
macaw	-14.9	-60.3	8/11/90	224	8
macaw	-15.0	-61.6	8/28/90	241	1
macaw	-15.0	-61.6	8/28/90	241	10
macaw	8.9	-68.1	11/7/90	312	8
macaw	8.9	-68.1	11/7/90	312	11
macaw	8.9	-68.1	11/8/90	313	11
macaw	-0.5	-76.4	11/9/90	314	4
macaw	-0.5	-76.4	11/9/90	314	9
macaw	-0.5	-76.4	11/10/90	315	4
macaw	10.5	-66.3	11/10/90	315	7
macaw	-0.5	-76.4	11/10/90	315	9
macaw	-0.5	-76.4	11/10/90	315	11
macaw	-0.5	-76.4	11/11/90	316	9
macaw	-0.4	-76.5	11/12/90	317	4
macaw	8.8	-67.8	12/2/90	337	4
macaw	8.8	-67.8	12/2/90	337	11
macaw	-0.6	-75.3	12/5/90	340	1
macaw	-0.6	-75.3	12/5/90	340	4
macaw	-0.6	-75.3	12/5/90	340	9
macaw	-0.6	-75.3	12/6/90	341	1
macaw	-0.6	-75.3	12/6/90	341	4
macaw	-0.6	-75.3	12/6/90	341	9
macaw	-0.5	-75.3	12/7/90	342	1
macaw	-0.5	-75.3	12/7/90	342	4
macaw	-0.5	-75.3	12/7/90	342	9
macaw	-0.5	-75.3	12/7/90	342	11
macaw	-0.6	-75.3	12/8/90	343	1
macaw	-0.6	-75.3	12/8/90	343	4
macaw	-0.6	-75.3	12/8/90	343	9
macaw	-0.6	-75.3	12/8/90	343	11
macaw	-0.6	-75.3	12/9/90	344	1
macaw	-0.6	-75.3	12/9/90	344	4
macaw	9.8	-84.6	12/26/90	361	11
macaw	9.8	-84.6	12/30/90	365	11
macaw	17.2	-89.6	2/3/91	33	11
macaw	10.4	-85.3	2/4/91	34	11
macaw	17.2	-89.6	2/4/91	34	11
macaw	17.2	-89.6	2/5/91	35	11
