COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,SERIAL DATE,1=Black Kite // 2=Lesser Nighthawk
kite,-12.3,130.9,9/5/12,249,1
kite,-12.3,130.9,9/10/12,254,1
kite,-12.4,130.9,9/4/12,248,1
kite,-12.4,130.9,9/10/12,254,1
kite,-12.4,130.9,9/6/12,250,1
kite,-12.4,130.9,9/26/12,270,1
kite,-12.4,130.9,9/25/12,269,1
kite,-12.8,131.3,9/16/12,260,1
kite,-12.4,130.9,9/13/12,257,1
kite,-12.4,130.9,9/28/12,272,1
kite,-12.4,130.9,9/12/12,256,1
kite,-12.7,131.3,10/1/12,275,1
kite,-12.9,131.6,10/11/12,285,1
kite,-12.4,130.8,10/8/12,282,1
kite,-12.7,131.3,10/10/12,284,1
kite,-12.9,131.6,10/10/12,284,1
kite,-12.6,131.3,10/12/12,286,1
kite,-12.6,131.3,10/12/12,286,1
kite,-12.6,131.3,10/12/12,286,1
kite,-12.9,132.5,10/16/12,290,1
kite,-13.8,131.8,10/16/12,290,1
kite,-12.6,132.7,10/13/12,287,1
kite,-13.6,132.2,10/16/12,290,1
kite,-12.4,130.9,10/8/12,282,1
kite,-12.4,130.9,10/31/12,305,1
kite,-13.8,131.8,10/31/12,305,1
kite,-13.8,131.8,10/31/12,305,1
kite,-12.4,130.9,10/8/12,282,1
kite,-12.4,130.8,10/2/12,276,1
